id,rank,descripton
State.tx.us,476,"Resources for citizens, visitors, business and government."
Samsclub.com,477,"Bentonville based nationwide warehouse retail chain provides product information, store finder,, and corporate profile."
Indiatimes.com,478,"Portal site; includes news stories under subject headings, and links to other information sources.,es."
Pogo.com,479,"Provider of family-based games for everyone including card, board, word, trivia, bingo and casi,no games with no software installation, plug-ins or long download time."
Timewarnercable.com,480, 
Pbs.org,481,"This Web site from the Public Broadcasting Service (PBS) features companion Web sites for nearl,y 250 PBS programs and specials, as well as seven online neighborhoods that aggregate content by genre and interest."
Steampowered.com,482,"Delivers a range of games straight to a computer's desktop. Includes automatic updates, lists o,f games and prices, posters, plus access to a large gaming community."
Beeg.com,483,just porn
Worlddaily.com,484, 
Privatehomeclips.com,485,Homemade porn as you never saw
Citi.com,486, 
Office365.com,487, 
Wow.com,488, 
Sbnation.com,489,"A sports weblog network of, by and for the fans. News, commentary, photographs, videos, and art,icles."
Creditkarma.com,490,"Please alter your browser's settings to allow Javascript on CreditKarma.com before continu,ing."
Camster.com,491, 
Theatlantic.com,492,"A regularly updated companion web site to the magazine Atlantic Monthly. Includes fiction, feat,ured articles and reviews."
Inc.com,493,Magazine focused on business resources for the entrepreneur.
Jezebel.com,494,"In fact, in the 10+ months since Jezebel ""went live"", our commenting community has ba,llooned in a way we could have never anticipated: Earlier this year, we became the most-commented site on the entire Gawker Media network, surpassing even geek/gadget blogs Gizmodo and Kotaku. (One of my enduring frustrations is that I rarely get to read the comments. ..."
Adf.ly,495,"Shorten your links and earn money for each visitor! Works great on blogs, forums, Twitter, Face,book"
Semrush.com,496,"Анализ выдачи поисковой системы Google и предоставление информации относительно доменов и ключе,вых слов. Цены на подписку, FAQ."
Suntrust.com,497,Local mortgage department and commercial branch banking.
4chan.org,498, 
Discover.com,499,News and features from the world of science.
Patch.com,500, 
Washingtonpost.com,76,"Daily. Offers news, opinion, sports, arts and living and entertainment. Includes archives since, 1977 and subscription information."
Bleacherreport.com,77,"Bleacher Report is the web's largest and fastest growing community-powered sports network., Since launch in February, 2008, bleacherreport.com has rapidly expanded its breadth and depth of coverage, producing quality content about all major U.S. and international sports."
Thepiratebay.se,78,"A large bittorrent directory for music, movies and software."
Reference.com,79, 
Outbrain.com,80,"Here at outbrain we are doing the same for blog and news content on the web. Information overlo,ad is real and growing as the amount of content on the web grows exponentially. We are committed to helping readers of blogs and news sites find the best content that is most relevant to them on a personal basis. This is very different than the commonly seen ""related links"" where everyone sees the same suggestions. ..."
Groupon.com,81,Features a daily deal for most major metropolitan areas in the United States.
Capitalone.com,82,Among the largest issuers of major brand bank card products worldwide.
Amazonaws.com,83, 
Wikia.com,84,"Free wiki hosting from Wikia, using the same MediaWiki software that runs Wikipedia."
Homedepot.com,85,"Stores in the United States and Canada sell building materials, home improvement and garden pro,ducts. Includes store locator and project information."
Aweber.com,86,"AWeber email marketing software and autoresponders allow you to keep in contact with potential ,customers and build profitable life long clients."
Bestbuy.com,87,"International retailer of consumer electronics and entertainment software under the names Best ,Buy, Magnolia, and Future Shop. Also offers online shopping. Store locator, investor information, career opportunities."
Hulu.com,88,"Ad-supported streaming television shows and movies, including some in high definition."
Wsj.com,89,"Business and financial news, latest managerial trends and politics."
Fedex.com,90,"Transport company offering integrated transportation, information and logistics solutions."
Trulia.com,91,Real Estate Search Engine
Drudgereport.com,92,"Matt himself, plus many news links"
Infusionsoft.com,93,"Infusion Software Changes Company, Product Name to Infusionsoft Leader in eMarketing Software f,or Entrepreneurs Aligns Company and Product in a Single, Unified Brand Name ... Infusion Software , the leader in eMarketing software for entrepreneurs, today announced the company has changed its name to Infusionsoft. ..."
Wikihow.com,94, 
Tmz.com,95,"Offers entertainment news, gossip and an inside look at the latest celebrity scandals."
Zedo.com,96,"Major ad serving player with solid technology. ZEDO is one of the 3 high quality ad serving com,panies that focuses on solid technology, great service and its customers. It does not compete by running an ad network and is well respected in the industry. ZEDO is especially good at Rich Media for Publishers and at Optimization for ad Publishers and Direct Marketers."
Constantcontact.com,97,"Do-it-yourself email marketing solution for small businesses and associations. Create, send, an,d instantly track professional html email newsletters and promotions. Free 60-Day Trial."
Att.com,98,"Provides long-distance, international and wireless services as well as internet access."
Googleusercontent.com,99, 
